seatid,price,distance,height,seating_angle,visibility,turns_visible,track_length_visible,range_visible,seat_type,sun_cover,rain_cover,speed_category,overtake_probability,braking_zone,sold_first_hour
0,2298,41,0,57,55,1,214,163,VIP,0.25,0.87,Fast,0.21,0,0
1,293,126,19,82,68,3,231,189,General,0.52,0.85,Medium,0.53,0,1
2,552,99,4,46,61,1,154,183,General,0.03,0.2,Fast,0.43,0,0
3,3588,32,0,35,60,1,170,185,VIP,0.3,0.42,Medium,0.33,0,0
4,971,50,3,71,68,1,235,140,Premium,0.3,0.02,Fast,0.33,0,0
5,2719,24,7,67,65,3,248,222,VIP,0.32,1,Fast,0.21,1,0
6,436,118,18,48,69,2,205,241,General,0.38,0.1,Fast,0.49,1,0
7,2825,21,8,11,64,3,273,249,VIP,0.35,0.71,Fast,0.34,1,0
8,2418,26,3,81,71,2,228,228,VIP,0.24,0.97,Medium,0.66,1,0
9,407,141,14,28,65,1,305,179,General,0.31,0.04,Medium,0.35,0,0
10,293,118,1,3,63,1,262,233,General,0.36,0.45,Fast,0.35,0,0
11,477,113,17,46,61,1,273,179,General,0.4,0.8,Medium,0.57,0,1
12,2783,23,4,75,63,1,287,204,VIP,0.24,0.69,Fast,0.31,1,0
13,2152,45,4,88,75,0,252,254,VIP,0.22,0.79,Fast,0.48,1,0
14,286,112,4,6,59,1,211,158,General,0.23,0.67,Slow,0.86,1,0
15,3166,11,0,1,68,2,199,283,VIP,0.19,1,Medium,0.34,1,0
16,1854,26,1,42,57,1,225,152,VIP,0.25,1,Fast,0.27,0,0
17,3269,37,2,71,58,2,293,151,VIP,0.29,1,Slow,0.68,1,0
18,2552,29,5,43,57,2,209,193,VIP,0.32,0.47,Fast,0.32,0,0
19,337,127,9,64,66,3,290,220,General,0.34,0.81,Medium,0.34,0,1
20,3265,23,9,61,55,1,160,134,VIP,0.13,1,Medium,0.47,0,0
21,234,111,16,73,65,1,323,141,General,0.42,0.95,Medium,0.39,0,1
22,3233,28,0,41,58,2,239,147,VIP,0.09,0.39,Fast,0.21,0,0
23,2622,23,3,17,72,0,191,234,VIP,0.2,1,Slow,0.66,1,0
24,1675,30,0,45,59,0,169,198,Premium,0.24,0.26,Medium,0.49,1,0
25,3406,26,0,19,58,1,224,98,VIP,0.37,1,Slow,0.68,1,0
26,253,104,10,10,76,1,303,288,General,0.12,0.34,Fast,0.25,0,1
27,2703,31,5,42,61,3,226,176,VIP,0.25,0.6,Fast,0.38,0,0
28,1485,37,0,49,63,3,306,205,Premium,0.31,0.78,Fast,0.29,0,0
29,2757,5,8,88,71,3,278,195,VIP,0.37,0.84,Fast,0.17,0,0
30,246,136,7,74,55,2,224,223,General,0.48,0.87,Slow,0.81,1,0
31,50,147,18,55,72,1,209,225,General,0.19,0.04,Fast,0.43,0,1
32,1388,44,2,1,55,0,202,203,Premium,0.32,0.28,Fast,0.12,0,0
33,153,135,17,67,80,2,351,287,General,0.6,0.62,Medium,0.49,0,1
34,1194,39,2,56,64,3,272,95,Premium,0,0.78,Fast,0.21,0,0
35,3217,37,0,54,61,1,228,213,VIP,0.45,0.43,Slow,0.79,1,0
36,2668,33,1,19,63,0,297,243,VIP,0.15,0.34,Fast,0.36,0,0
37,539,133,23,38,80,1,340,269,General,0.37,0.43,Medium,0.53,1,0
38,2374,28,4,50,67,2,211,270,VIP,0.16,1,Medium,0.33,0,0
39,2253,14,6,70,56,0,153,250,VIP,0.18,0.34,Slow,0.6,1,0
40,217,141,8,0,66,0,284,139,General,0.38,0.15,Medium,0.42,0,1
41,1264,35,12,22,80,2,354,165,Premium,0.28,0.8,Slow,0.71,1,0
42,239,139,13,9,78,3,263,107,General,0.52,0.56,Slow,0.84,0,0
43,2160,26,0,59,56,1,207,255,VIP,0.33,0.79,Medium,0.38,1,0
44,2527,22,2,10,64,1,294,140,VIP,0.21,0.67,Medium,0.6,1,0
45,280,96,15,89,70,3,242,175,General,0.27,0.64,Fast,0.48,0,0
46,338,109,12,53,76,0,194,202,General,0.28,0.43,Fast,0.11,0,1
47,311,118,8,36,69,2,220,218,General,0.34,0.48,Fast,0.48,0,1
48,2772,33,6,62,63,0,261,239,VIP,0.29,1,Medium,0.6,0,0
49,2297,33,6,13,72,0,230,206,VIP,0.21,0.94,Fast,0.48,0,0
50,2725,23,3,54,56,0,224,130,VIP,0.32,0.96,Medium,0.64,0,0
51,1442,31,11,47,65,1,176,252,Premium,0.19,0.2,Medium,0.42,1,0
52,2996,26,0,7,50,2,146,142,VIP,0.16,1,Fast,0.33,0,0
53,200,120,14,72,75,3,188,230,General,0.6,0.8,Fast,0.16,0,1
54,508,35,11,75,73,2,257,166,General,0.31,0.26,Fast,0.25,0,0
55,2760,26,0,55,61,2,275,226,VIP,0.21,1,Slow,0.69,1,0
56,480,90,5,88,60,3,290,178,General,0.42,0.19,Fast,0.45,0,0
57,340,110,9,87,62,0,202,156,General,0.22,0.68,Fast,0.11,0,1
58,3056,30,8,8,66,3,166,197,VIP,0.36,0.58,Medium,0.63,1,0
59,2509,37,3,43,65,1,238,246,VIP,0.33,0.31,Medium,0.51,0,0
